discipline,athlete,country,record,date,event,sex,wikipedia,profile,video_name,video_link
DNF,Nitsch Herbert,AT,134,11/24/2001,WR Attempt - NITSCH Herbert (DNF),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found
DNF,Nitsch Herbert,AT,131,1/27/2001,WR Attempt - NITSCH Herbert (DNF),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,not_found,not_found
DNF,Cocuet Frederic,FR,125,10/7/1993,WR Attempt - COCUET Frederic (DNF),Men,None,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e0d,not_found,not_found
STA,Mifsud Stéphane,FR,11:35,6/8/2009,WR Attempt - MIFSUD Stephane(Static Apnea),Men,https://en.wikipedia.org/wiki/St%C3%A9phane_Mifsud,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000013,Stéphane MIFSUD - Current Apnea Static World Record - English version,https://www.youtube.com/watch?v=i-BKF8jChzM
STA,Sietas Tom,DE,10:12,6/3/2008,WR Attempt - SIETAS Tom(STA),Men,https://en.wikipedia.org/wiki/Tom_Sietas,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000b1,not_found,not_found
STA,Sietas Tom,DE,9:15,5/11/2008,WR Attempt - SIETAS Tom(STA),Men,https://en.wikipedia.org/wiki/Tom_Sietas,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000b1,Tom Sietas - STA 9'15 - 2008 – Germany.flv,https://www.youtube.com/watch?v=eQHKEgYBxuQ
STA,Nitsch Herbert,AT,9:04,12/12/2006,WR Attempt - NITSCH Herbert(CWT-CNF-FIM-STA),Men,https://en.wikipedia.org/wiki/Herbert_Nitsch,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006,Freediver Herbert Nitsch - WR#18 2006 Static Apnea 9min04,https://www.youtube.com/watch?v=pyOsXQhBRmU
STA,Sietas Tom,DE,9:00,8/26/2006,WR Attempt - SIETAS Tom(STA-DYN-DNF),Men,https://en.wikipedia.org/wiki/Tom_Sietas,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000b1,not_found,not_found
STA,Sietas Tom,DE,8:58,12/12/2004,3rd Dutch Apnea Open,Men,https://en.wikipedia.org/wiki/Tom_Sietas,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000b1,Tom Sietas AIDA WR STA 8'58 2004 Netherlands,https://www.youtube.com/watch?v=7Z25iPTtca8
STA,Sietas Tom,DE,8:56,10/30/2004,Rhein Main Cup 2004,Men,https://en.wikipedia.org/wiki/Tom_Sietas,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000b1,Tom Sietas - STA 8'56 - 2004 – Germany.wmv,https://www.youtube.com/watch?v=oEK3cS7njHA
STA,Sietas Tom,DE,8:47,6/11/2004,WR Attempt - SIETAS Tom (STA),Men,https://en.wikipedia.org/wiki/Tom_Sietas,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000b1,not_found,not_found
STA,Stepanek Martin,CZ,8:06,7/3/2001,WR Attempt - STEPANEK Martin (STA),Men,https://en.wikipedia.org/wiki/Martin_%C5%A0t%C4%9Bp%C3%A1nek_(free-diver),https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000092,not_found,not_found
STA,Le Sauce Andy,FR,7:35,4/4/1996,WR Attempt - LESAUCE Andy (STA),Men,https://fr.wikipedia.org/wiki/Andy_Le_Sauce,https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000001,not_found,not_found
